Item Id,Stock Code,Part No,Description,Car Model,Brand,Category,Cost Price,Sell Price,Last Sell Price,Current Quantity,Stock Take,Reason
21130,Stock Code,,quick study guide chemistry o level 3rd edition,,HOD,IGCSE & O LEVEL CHEM,0,13.5,0,0,1,Andrew Test
21131,9789814850889,,O LEVEL AT YOUR FINGERTIPS BIOLOGY REVISION HANDBOOK,,eph,IGCSE & O LEVEL BIOL,0,6.9,0,0,,
21132,9789814752862,,o level science physics key concepts,,eph,O LEVEL SCIENCE PHYS,0,7.9,0,0,,
21133,9789814752848,,o level science chemistry key concepts,,eph,O LEVEL SCIENCE CHEM,0,7.9,0,0,,
21134,9789813120983,,o level Additional Mathematics key concepts,,eph,o level Additional M,0,6.9,0,0,,
21135,9789813120990,,o level Elementary Mathematics,,eph,o level Elementary M,0,6.9,0,0,,
21136,9789814752855,,o level physics key concepts,,eph,IGCSE & OL PHYSICS,0,7.9,0,0,,
21137,9789814752831,,o level chemistry key concepts,,eph,o level biology,0,7.9,0,0,,
21138,9789814752879,,o level biology key concepts,,eph,IGCSE & O LEVEL BIOL,0,7.9,0,0,,
21139,9789811100123,,G.C.E o level A Comprehensive Guide To Chemistry,,FBP,IGCSE & O LEVEL CHEM,0,8.3,0,0,,
21140,9789810995720,,G.C.E o level A Comprehensive Guide To Physics,,FBP,G.C.E O level A Comp,0,8.3,0,0,,
21141,9789814672993,,Quick Exam Notes Biology,,SAP,IGCSE & O LEVEL BIOL,0,6.95,0,0,,
21142,9789814672962,,Quick Exam Notes Chemistry,,SAP,Quick Exam Notes,0,6.95,0,0,,
21143,9789814672931,,Quick Exam Notes Physics,,SAP,IGCSE & OL PHYSICS,0,6.95,0,0,,
21144,9789814754538,,Quick Exam Notes Mathematics,,SAP,IGCSE & OL MATHS,0,5.95,0,0,,
21145,9789814754545,,Quick Exam Notes Additional Mathematics,,SAP,IGCSE & OL ADD MATHS,0,5.5,0,0,,
21146,9789814672986,,Quick Exam Notes Science Biology,,SAP,IGCSE & O LEVEL BIOL,0,5.5,0,0,,
21147,9789814672955,,Quick Exam Notes Science Chemistry,,SAP,IGCSE & O LEVEL CHEM,0,5.5,0,0,,
21148,9789813212961,,Pocket Notes Chemistry,,SAP,IGCSE & O LEVEL CHEM,0,5.95,0,0,,
21149,9789813210820,,Pocket Notes Mathematics,,SAP,IGCSE & OL MATHS,0,3.95,0,0,,
21150,9789813210837,,Pocket Notes Additional Mathematics,,SAP,IGCSE & OL ADD MATHS,0,3.95,0,0,,
