stock num,brand,category,description,date,final balance,cost price,selling price
00002,TOYOTA,SPEEDO METER,METER CABLE TY AT151 ATM,2018-02-01 23:59:59,1,$25.00,$25.00
00003,MMC,DISRIBUTOR VACUUM,DISTRIBUTOR VACUUM MIT PJR,2018-02-01 23:59:59,41,$0.00,$0.00
00004,IMPERIAL,BRAKE HOSE,BRAKE HOSE TY,2018-02-01 23:59:59,0,$0.00,$0.00
00005,HYUNDAI,THERMOSTAT HOUSING,THERMOSTAT HOUSING HY ATOS,2018-02-01 23:59:59,0,$0.00,$0.00
00006,NOK,ENGINE MTG,ENG MTG TY CV30,2018-02-01 23:59:59,0,$0.00,$0.00
00007,NIKKO,BRAKE HOSE,BRAKE HOSE HD SH3 FRT RH,2018-02-01 23:59:59,0,$0.00,$0.00
00008,GP,ENGINE MTG,ENG MTG TY AE111,2018-02-01 23:59:59,0,$0.00,$0.00
00009,KOIYO,BY PASS PIPE,BY PASS PIPE MZ ASTINA 1.6,2018-02-01 23:59:59,0,$0.00,$0.00
00011,MIYOTO,BY PASS PIPE,BY PASS PIPE HD CIVIC 92-,2018-02-01 23:59:59,0,$0.00,$0.00
00012,NPW,WATER PUMP,WATER PUMP HD ACC 89-PT2,2018-02-01 23:59:59,0,$0.00,$0.00
00013,AISIN,CLUTCH LINING,CLUTCH LINING 215X20TX22.35 SZ VTR 16V,2018-02-01 23:59:59,0,$0.00,$0.00
00014,NISSAN,ABSORBER,ABSORBER FRT NS K10,2018-02-01 23:59:59,0,$0.00,$0.00
00015,DAIKIN,CLUTCH COVER,CLUTCH COVER 227X137X164 TY 1SU CT190,2018-02-01 23:59:59,0,$0.00,$0.00
00016,AISIN,CLUTCH COVER,CLUTCH COVER 191X126X225 SZ SA413,2018-02-01 23:59:59,0,$0.00,$0.00
00017,TAIHO,CON ROD BRG,CON ROD BRG MIT 4G13/15 8V,2018-02-01 23:59:59,0,$0.00,$0.00
00018,FUJI,ABSORBER,ABSORBER FRT TY HILUX,2018-02-01 23:59:59,0,$0.00,$0.00
00019,TOKICO,ABSORBER,ABSORBER FRT TY EP70,2018-02-01 23:59:59,0,$0.00,$0.00
00020,TOKICO,ABSORBER,ABSORBER FRT TY KE70 CHARMENT,2018-02-01 23:59:59,0,$0.00,$0.00
00021,TOYOTA,ABSORBER,ABSORBER FRT TY MA61,2018-02-01 23:59:59,0,$0.00,$0.00
00022,TOYOTA,ABSORBER,ABSORBER FRT TY AE80 AT151,2018-02-01 23:59:59,0,$0.00,$0.00
00023,KYB,ABSORBER,ABSORBER RR P SAGA,2018-02-01 23:59:59,0,$0.00,$0.00
00024,JAPAN,ALTERNATOR,ALTERNATOR DHS FEROZA 12V,2018-02-01 23:59:59,0,$0.00,$0.00
00025,NISSAN,TIMING GUIDE,TIMING GUIDE NS ZD30,2018-02-01 23:59:59,0,$0.00,$0.00
00026,ASUKI,ABSORBER,ABSORBER RR F FESTIVA,2018-02-01 23:59:59,0,$0.00,$0.00
00027,MONROE,ABSORBER,ABSORBER RR TY AE/EE90,2018-02-01 23:59:59,0,$0.00,$0.00
00028,JAPAN,CAMSHAFT,CAM SENSOR SZ IGNIS,2018-02-01 23:59:59,0,$0.00,$0.00
00029,JAPAN,STARTER,STARTER TY 21/22R 9T,2018-02-01 23:59:59,0,$0.00,$0.00
00030,NISSAN,ABSORBER,ABSORBER RR NS U12,2018-02-01 23:59:59,0,$0.00,$0.00
00031,UNION,STARTER,STARTER NS 120Y 8T,2018-02-01 23:59:59,0,$0.00,$0.00
00032,JAPAN,STARTER,STARTER MZ GC1081 8T,2018-02-01 23:59:59,0,$0.00,$0.00
00033,ASUKI,IDLER ARM,IDLER ARM TY MS122,2018-02-01 23:59:59,0,$0.00,$0.00
00034,ASUKI,BYPASS HOSE,BY PASS HOSE,2018-02-01 23:59:59,0,$0.00,$0.00
00035,HI-Q,BRAKE PAD,BRAKE PAD RR CHEV CAPTIVA,2018-02-01 23:59:59,0,$0.00,$0.00
00036,PARAUT,BRAKE PAD,BRAKE PAD FRT TY,2018-02-01 23:59:59,0,$0.00,$0.00
00037,PARAUT,BRAKE PAD,BRAKE PAD FRT TY ST191,2018-02-01 23:59:59,0,$0.00,$0.00
00038,HI-Q,BRAKE PAD,BRAKE PAD FRT CHEV CAPTIVA,2018-02-01 23:59:59,0,$0.00,$0.00
00039,PARAUT,BRAKE PAD,BRAKE PAD FRT SZ SJ410,2018-02-01 23:59:59,0,$0.00,$0.00
00040,NISSAN,CRANKSHAFT,CRANKSHAFT GEAR NS RB30S,2018-02-01 23:59:59,0,$0.00,$0.00
00041,JAPAN,STAB BUSH,STAB BUSH FRT HD,2018-02-01 23:59:59,0,$0.00,$0.00
00042,5825,STRG BOOT,STRG BOOT TY EE90 AE92,2018-02-01 23:59:59,0,$0.00,$0.00
00043,GP,STRG BOOT,STRG BOOT TY KE70,2018-02-01 23:59:59,0,$0.00,$0.00
00044,HYUNDAI,STAB BUSH,STAB BUSH FRT HY STELLAR 1.6 GSL 18MM,2018-02-01 23:59:59,0,$0.00,$0.00
00045,LOKCO,STRUT BAR BUSH,STRUT BAR BUSH DHS G11,2018-02-01 23:59:59,0,$0.00,$0.00
00046,TERADA,ARM BUSH,LWR ARM BUSH TY COROLLA 89- 18MM,2018-02-01 23:59:59,0,$0.00,$0.00
00047,DSK,CV JOINT,C V JOINT OUT 26X56X23 MZ 323 96- ASTINA 96-,2018-02-01 23:59:59,0,$0.00,$0.00
00048,HONDA,VALVE COVER GASKET,V C GASKET HD EL,2018-02-01 23:59:59,0,$0.00,$0.00
00049,HONDA,VALVE COVER GASKET,V C GASKET HD D16A T/CAM 16V,2018-02-01 23:59:59,0,$0.00,$0.00
00050,TP,PISTON RING,PISTON RING MIT 4D55/56 91.1MM,2018-02-01 23:59:59,0,$0.00,$0.00
00051,RIK,PISTON RING,PISTON RING MIT 4G13,2018-02-01 23:59:59,0,$0.00,$0.00
00052,RIK,PISTON RING,PISTON RING MIT 4D55/56T 91.1MM,2018-02-01 23:59:59,0,$0.00,$0.00
00053,156,CV BOOT,C V BOOT INNER HD ACC 89- 78M,2018-02-01 23:59:59,0,$0.00,$0.00
00054,LOKCO,ARM BUSH,LWR ARM BUSH TY KIJANG,2018-02-01 23:59:59,0,$0.00,$0.00
00055,JAPAN,WCYL PUMP,WHL CYL PUMP SZ SJ410 FRT RH,2018-02-01 23:59:59,0,$0.00,$0.00
00056,JAPAN,WCYL PUMP,WHL CYL PUMP SZ SJ410 RR LH,2018-02-01 23:59:59,0,$0.00,$0.00
00057,JAPAN,CV BOOT,C V BOOT OUT 77M,2018-02-01 23:59:59,0,$0.00,$0.00
EFP-500101G,ACHR,FUEL PUMP ELECTRIC,FUEL PUMP HD SM4,2018-02-01 23:59:59,0,$0.00,$0.00
00059,HITACHI,FUEL PUMP ELECTRIC,FUEL PUMP SB LEONE,2018-02-01 23:59:59,0,$0.00,$0.00
00060,JAPAN,ARM BUSH,LWR ARM BUSH NS T11,2018-02-01 23:59:59,0,$0.00,$0.00
00061,LUCAS,WCYL PUMP,WHL CYL PUMP MIT PJR 92-RR LH,2018-02-01 23:59:59,0,$0.00,$0.00
00062,NISSAN,ARM BUSH,LWR ARM BUSH NS U12 U11,2018-02-01 23:59:59,0,$0.00,$0.00
00063,FIC,WCYL PUMP,WHL CYL PUMP MIT E32/33 RR,2018-02-01 23:59:59,0,$0.00,$0.00
00064,TCIC,WCYL PUMP,WHL CYL PUMP HY ACCENT 01- RR RH,2018-02-01 23:59:59,0,$0.00,$0.00
00065,MICRO,OIL FILTER,OIL FILTER,2018-02-01 23:59:59,0,$0.00,$0.00
00066,TCIC,WCYL PUMP,WHL CYL PUMP HY ACCENT 01-RR LH,2018-02-01 23:59:59,0,$0.00,$0.00
00067,MICRO,OIL FILTER,OIL FILTER MZ,2018-02-01 23:59:59,0,$0.00,$0.00
00068,MAZDA,OIL FILTER,OIL FILTER MZ,2018-02-01 23:59:59,0,$0.00,$0.00
00069,MICRO,OIL FILTER,OIL FILTER,2018-02-01 23:59:59,0,$0.00,$0.00
00070,ROCKY,WCYL PUMP,WHL CYL PUMP MIT A212A RR,2018-02-01 23:59:59,0,$0.00,$0.00
00071,TOKICO,WCYL PUMP,WHL CYL PUMP MIT A121A RR LH,2018-02-01 23:59:59,0,$0.00,$0.00
