Barcode,Description,Stock No,Cost,QTY
00002,"METER CABLE TY AT151 ATM",00002,25,1
00003,"DISTRIBUTOR VACUUM MIT PJR",00003,0,41
00004,"BRAKE HOSE TY",00004,0,0
00005,"THERMOSTAT HOUSING HY ATOS",00005,0,0
00006,"ENG MTG TY CV30",00006,0,0
00007,"BRAKE HOSE HD SH3 FRT RH",00007,0,0
00008,"ENG MTG TY AE111",00008,0,0
00009,"BY PASS PIPE MZ ASTINA 1.6",00009,0,0
00011,"BY PASS PIPE HD CIVIC 92-",00011,0,0
00012,"WATER PUMP HD ACC 89-PT2",00012,0,0
00013,"CLUTCH LINING 215X20TX22.35 SZ VTR 16V",00013,0,0
00014,"ABSORBER FRT NS K10",00014,0,0
00015,"CLUTCH COVER 227X137X164 TY 1SU CT190",00015,0,0
00016,"CLUTCH COVER 191X126X225 SZ SA413",00016,0,0
00017,"CON ROD BRG MIT 4G13/15 8V",00017,0,0
00018,"ABSORBER FRT TY HILUX",00018,0,0
00019,"ABSORBER FRT TY EP70",00019,0,0
00020,"ABSORBER FRT TY KE70 CHARMENT",00020,0,0
00021,"ABSORBER FRT TY MA61",00021,0,0
00022,"ABSORBER FRT TY AE80 AT151",00022,0,0
00023,"ABSORBER RR P SAGA",00023,0,0
00024,"ALTERNATOR DHS FEROZA 12V",00024,0,0
00025,"TIMING GUIDE NS ZD30",00025,0,0
00026,"ABSORBER RR F FESTIVA",00026,0,0
00027,"ABSORBER RR TY AE/EE90",00027,0,0
00028,"CAM SENSOR SZ IGNIS",00028,0,0
00029,"STARTER TY 21/22R 9T",00029,0,0
00030,"ABSORBER RR NS U12",00030,0,0
00031,"STARTER NS 120Y 8T",00031,0,0
00032,"STARTER MZ GC1081 8T",00032,0,0
00033,"IDLER ARM TY MS122",00033,0,0
00034,"BY PASS HOSE",00034,0,0
00035,"BRAKE PAD RR CHEV CAPTIVA",00035,0,0
00036,"BRAKE PAD FRT TY",00036,0,0
00037,"BRAKE PAD FRT TY ST191",00037,0,0
00038,"BRAKE PAD FRT CHEV CAPTIVA",00038,0,0
00039,"BRAKE PAD FRT SZ SJ410",00039,0,0
00040,"CRANKSHAFT GEAR NS RB30S",00040,0,0
00041,"STAB BUSH FRT HD",00041,0,0
00042,"STRG BOOT TY EE90 AE92",00042,0,0
00043,"STRG BOOT TY KE70",00043,0,0
00044,"STAB BUSH FRT HY STELLAR 1.6 GSL 18MM",00044,0,0
00045,"STRUT BAR BUSH DHS G11",00045,0,0
00046,"LWR ARM BUSH TY COROLLA 89- 18MM",00046,0,0
00047,"C V JOINT OUT 26X56X23 MZ 323 96- ASTINA 96-",00047,0,0
00048,"V C GASKET HD EL",00048,0,0
00049,"V C GASKET HD D16A T/CAM 16V",00049,0,0
00050,"PISTON RING MIT 4D55/56 91.1MM",00050,0,0
00051,"PISTON RING MIT 4G13",00051,0,0
00052,"PISTON RING MIT 4D55/56T 91.1MM",00052,0,0
00053,"C V BOOT INNER HD ACC 89- 78M",00053,0,0
00054,"LWR ARM BUSH TY KIJANG",00054,0,0
00055,"WHL CYL PUMP SZ SJ410 FRT RH",00055,0,0
00056,"WHL CYL PUMP SZ SJ410 RR LH",00056,0,0
00057,"C V BOOT OUT 77M",00057,0,0
EFP-500101G,"FUEL PUMP HD SM4",EFP-500101G,0,0
00059,"FUEL PUMP SB LEONE",00059,0,0
00060,"LWR ARM BUSH NS T11",00060,0,0
00061,"WHL CYL PUMP MIT PJR 92-RR LH",00061,0,0
00062,"LWR ARM BUSH NS U12 U11",00062,0,0
00063,"WHL CYL PUMP MIT E32/33 RR",00063,0,0
